Role,Languages,Frameworks,Libraries,Technologies,JD,Score
Backend Developer,"C#, Java, Go",".NET Core, Spring Boot",,"RabbitMQ, Docker, Microservices, REST API","Seeking a Senior Backend Engineer. Experience in building scalable microservices, proficient in C# or Go. RabbitMQ experience is highly preferred.",0.95
AI Engineer,"Python, C++","FastAPI","PyTorch, OpenCV, Pandas","YOLOv8, Docker, CUDA","Looking for a Machine Learning Engineer with expertise in Computer Vision, object detection models like YOLO, and ability to deploy with FastAPI.",0.94
DevOps Engineer,"Bash, Python, Go",,,"Docker, Kubernetes, AWS, Terraform, CI/CD","We are hiring a Cloud DevOps specialist. Required skills: AWS infrastructure, Kubernetes orchestration, and building CI/CD pipelines.",0.92
Frontend Developer,"JavaScript, TypeScript","React, Next.js","Redux, Tailwind CSS","Webpack, Figma","Frontend React Developer wanted. Must be proficient in TypeScript and modern CSS frameworks like Tailwind.",0.93
Mobile Developer,"Dart, Swift","Flutter",,"Firebase, SQLite, Clean Architecture","Cross-platform Mobile Engineer. Experience with Flutter and Firebase is a must. Ability to integrate REST APIs.",0.95
Data Engineer,"Python, Scala, SQL",,"Pandas, NumPy","Apache Spark, Kafka, Hadoop, Airflow","Seeking a Data Engineer to build scalable data pipelines using Spark, Kafka, and Python.",0.90
Backend Developer,"Node.js, JavaScript","Express, NestJS","Mongoose","MongoDB, Redis, API Gateway","Looking for a Node.js Developer to build API Gateways and manage NoSQL databases like MongoDB.",0.88
Backend Developer,"Java","Spring Boot","Hibernate","MySQL, AWS","Hiring a .NET developer. Strong experience with C#, ASP.NET Core, and Microsoft Azure cloud services.",0.35
Fullstack Developer,"JavaScript, Python","React, Django",,"PostgreSQL, Docker","Need a strict Backend Engineer focusing on high-performance C++ and low-latency trading systems.",0.25
System Admin,"Bash",,,"Linux, Nginx, Cisco, Firewall","Hiring a Frontend Developer (HTML, CSS, JavaScript).",0.10
AI Engineer,"Python",,"TensorFlow, Keras","Jupyter","Cross-platform Mobile Engineer needed for an E-commerce Flutter app.",0.15
UI/UX Designer,,,,"Figma, Adobe XD, Sketch","Looking for a Digital Marketing Specialist (SEO, Facebook Ads).",0.05
QA Tester,"Python, Java",,"Selenium, PyTest","Postman, JMeter, Jenkins","Hiring an Automation QA. Must write test scripts using Selenium and test APIs via Postman.",0.90
Blockchain Dev,"Solidity, Rust",,"Web3.js, Ethers.js","Ethereum, Smart Contracts","Seeking a Web3 Engineer to write Smart Contracts using Solidity and interact with dApps.",0.95
Data Analyst,"SQL, Python",,"Tableau, PowerBI",,"Data Scientist required for building predictive Machine Learning models using PyTorch.",0.55
Game Developer,"C#","Unity",,"3D Modeling, Blender","Hiring an Accountant to manage corporate taxes and audits.",0.00
Cloud Architect,"Python, Bash",,,"AWS, GCP, Azure","Looking for a Legal Advisor for drafting commercial contracts.",0.00
Embedded Engineer,"C, C++",,,"ARM, Microcontrollers","We are hiring an HR Manager for recruitment and payroll.",0.00
Frontend Developer,"Vue.js, JavaScript","Nuxt.js",,"CSS3, HTML5","Looking for an Android Developer (Kotlin, Jetpack Compose).",0.20
Backend Developer,"C#, Go",".NET Core",,"PostgreSQL, Microservices","Hiring an AWS Cloud Architect. Must have experience designing highly available systems.",0.45
